2022,The Visual Computer,"Robust point-cloud registration based on dense point matching and probabilistic modeling.",Gustavo Marques Netto; Manuel M. Oliveira,https://doi.org/10.1007/s00371-022-02525-y,null,J,no_arxiv,0
2022,The Visual Computer,"Preemptive text warping to prevent appearance of motion blur.",Zixun Yu; Manuel M. Oliveira; Daniel G. Aliaga,https://doi.org/10.1007/s00371-022-02545-8,null,J,no_arxiv,0
2021,Computers & Graphics,"Simultaneous magnification of subtle motions and color variations in videos using Riesz pyramids.",Thomas V. Fontanari; Manuel M. Oliveira,https://doi.org/10.1016/j.cag.2021.08.015,null,J,no_arxiv,0
2021,Computer Graphics Forum,"Real-Time Frequency Adjustment of Images and Videos.",Rafael L. Germano; Manuel M. Oliveira; Eduardo Simoes Lopes Gastal,https://doi.org/10.1111/cgf.142612,null,J,no_arxiv,0
2021,IEEE TVCG,"Synthesizing Camera Noise Using Generative Adversarial Networks.",Bernardo Henz; Eduardo Simoes Lopes Gastal; Manuel M. Oliveira,https://doi.org/10.1109/TVCG.2020.3012120,top,J,no_arxiv,0
2021,IEEE TVCG,"Video Folding: Increased Framerate for Semi-Repetitive Sequences.",Chris May 0001; Manuel M. Oliveira; Daniel G. Aliaga,https://doi.org/10.1109/TVCG.2020.2992670,top,J,no_arxiv,0
2021,The Visual Computer,"Real-time simulation of accommodation and low-order aberrations of the human eye using light-gathering trees.",Alex R. Cunha Lima; Arthur M. Medeiros; Vitor G. Marques; Manuel M. Oliveira,https://doi.org/10.1007/s00371-021-02194-3,null,J,no_arxiv,0
2020,Computer Graphics Forum,"Prefilters for Sharp Image Display.",Luís Cláudio Gouveia Rocha; Manuel M. Oliveira; Eduardo Simões Lopes Gastal,https://doi.org/10.1111/cgf.13942,null,J,no_arxiv,0
2020,PR,"A robust statistics approach for plane detection in unorganized point clouds.",Abner M. C. Araújo; Manuel M. Oliveira,https://doi.org/10.1016/j.patcog.2019.107115,null,J,no_arxiv,0
2020,PR,"Connectivity-based cylinder detection in unorganized point clouds.",Abner M. C. Araújo; Manuel M. Oliveira,https://doi.org/10.1016/j.patcog.2019.107161,null,J,no_arxiv,0
